input,rhyme_scheme,meter
"Выехав за ворота, я рысью объехал чуть не на версту растянувшиеся, молчаливо двигающиеся в темноте войска и догнал генерала.",AABB,choreios
"Привратник вызвал молодую рабыню, которая проводила меня в атрий и, сказав, что известит Гесперию, скрылась.",ABAB,iambos
"— Побойся бога; как тебе пускаться в дорогу в нынешнее время, когда никуда проезду нет от разбойников!",ABBA,choreios
"Толстой использовал этот, эпизод, характеризующий жестокость Наполеона, в одном из ранних черновых набросков начала романа (т.",AABB,iambos
"Солдат с повязкой садится на койку к Гусеву и говорит вполголоса: — И ты, Гусев, не жилец на этом свете.",ABAB,choreios
"Старец в особенности предостерегал его от этого греха, но Касатский радовался, что был свободен от него.",ABBA,iambos
"Протянув к огню длинные, худые руки, он потирал костлявые пальцы, суставы их гнулись вяло, медленно.",AABB,choreios
"Наконец агония пассивного состояния его возросла до последнего градуса, и господин Голядкин решился принять одну меру.",ABAB,iambos
"-  продолжала  она,  быстро  обратясь  ко  мне...  В решительности ее взора и голоса было что-то страшное... - Зачем?",ABBA,choreios
"От этого-то и было в выражении лица Алексея Александровича что-то гордое и строгое, когда у него спрашивали про здоровье его жены.",AABB,iambos
"Я хладнокровно смотрел на тех, которые подходили экзаменоваться, и даже позволял себе подтрунивать над некоторыми.",ABAB,choreios
"Скоро из комнаты царевны выбежали две молоденькие рабыни,  увидали  меня,  закачали головами и снова убежали.",ABBA,iambos
Иван Федорович стал до странности в эти два месяца нетребователен и очень любил оставаться совсем один.,AABB,choreios
"Сколько раз мне, например, случалось спросить у встречного мужика: как, братец, проехать, положим, в Грачовку?",ABAB,iambos
"И тоже какие-то у них втроем мудреные счеты были: тот тому дает, тот тому дает; а кто кому должен, не разберешь никак.",ABBA,choreios
"Что до меня касается то, я, господа, не очень-то вас боюсь… Не подумайте, что я уж так с вами связан… Впрочем, это всё равно.",AABB,iambos
"Повторяю опять, это тот же Алеко, особенно потом, когда он восклицает в тоске: Зачем, как тульский заседатель, Я не лежу в параличе?",ABAB,choreios
"Тут случилось, что проживавший в это время у нас Петр Александрович Миусов особенно ухватился за эту идею Федора Павловича.",ABBA,iambos
"Генеалогическое древо — собрание сведений о происхождении, преемственности и родстве родов и фамилий, изложенное в условной форме.",AABB,choreios
"-- Летось в господском лесу две березки срезал, его и посадили, -- поторопился сказать маленький розовый мальчик.",ABAB,iambos
"Она молча, жадно глотая его слова открытым сердцем, любовалась сыном, — он стоял перед нею такой светлый, близкий.",ABBA,choreios
"Эта бедная ящерица, никогда не знавшая мужчин, приходила в священный ужас при виде мужской физиономии.",AABB,iambos
"Научите ее, как она научена у нас, смотреть так на самую себя, и она всегда останется низшим существом.",ABAB,choreios
"Я мигом надела свое платье и, тоже торопясь, начала захватывать всё, что мне казалось нужным для дороги.",ABBA,iambos
"Мне всё приходило в голову, что я огорчила его, согласившись с ним, что он стар, и хотела утешить его, но не знала, как сделать это.",AABB,choreios
"И вдруг чувство тоски и одиночества, каких-то неясных желаний и надежд и какой-то к кому-то зависти охватило душу молодого человека.",ABAB,iambos
"Везде лежали полосушки, прикрепленные чисто-начисто вычищенными медными прутами, но ни цветов, ни зеркал не было.",ABBA,choreios
"После этого она еще долго смотрела в лица людей, словно спрашивая их о чем-то, а потом стала такою же простою, как все.",AABB,iambos
"Про эпизод же с Катюшей, что он мог подумать жениться на ней, княгиня-мать не могла подумать без ужаса.",ABAB,choreios
"Веками не избудете мучений... Фома залился громким хохотом и, схватившись за бока, закачался на ногах, высоко вскинув голову.",ABBA,iambos
"Для зрителей казалось, что они все поскакали вместе; но для ездоков были секунды разницы, имевшие для них большое значение.",AABB,choreios
"Еще мгновение – и вот засияют ее глаза, расцветет ее улыбка… Ее рука возьмет твою руку – и увлечет тебя за собою в неувядаемый рай!",ABAB,iambos
"Надобно сказать, что у нас на Руси если не угнались еще кой в чем другом за иностранцами, то далеко перегнали их в умении обращаться.",ABBA,choreios
"А теперь, когда... Когда оба мы истощили все свои доводы, Сильвия сказала мне: - Умоляю, упрашиваю тебя, не ходи вовсе в этот цирк!",AABB,iambos
"Затем он отбил жену у сына своего, а сын с горя запил и чуть не погиб в пьянстве, но вовремя опомнился и ушел спасаться в скиты, на Иргиз.",ABAB,choreios
"Разговор не завязался, да и была ошибка, потому что капитан Безумцев пьян не был и скандал был, собственно, не скандал.",ABBA,iambos
"А учитель и говорит: ""Всякому мальчику, говорит, надо и порезвиться, не  все  учиться; ему моцион необходим"", и вывел ему все  резоном.",AABB,choreios
Литература из-под кровати сослужила мне великую службу: я завоевал себе право брать журналы в кухню и получил возможность читать ночами.,ABAB,iambos
"В это мгновение в группу как раз влетел камень, задел слегка мальчика-левшу, но пролетел мимо, хотя пущен был ловко и энергически.",ABBA,choreios
"В последние месяцы перед отъездом она усердно переписывалась со своим братом, у нее, очевидно, какие-то тайные замыслы, а какие — бог весть.",AABB,iambos
"Проходя на днях по нашей улице, я остановился перед окном нового магазина и стал рассматривать бумагу, вставочки, папиросы и спички.",ABAB,choreios
"Буржуази довольна, она домы свои осветила 27 числа, и огонь плошек играл и отсвечивался в крови их братии.",ABBA,iambos
"Однако так ли, эдак ли, уговорились мы, что венчаться им через неделю, а с попом я сама дело устрою.",AABB,choreios
"А на какой подвиг способны вы, когда не можете даже сказать мне вы, как своему ровне, а говорите ты, как слуге?",ABAB,iambos
Меня всего более поразило теперь чрезвычайно мягкое и приятное выражение в лице Версилова; в нем было что-то совершенно искреннее.,ABBA,choreios
"Немного позади группы верховых показался белый дымок, татары расскакались в разные стороны, и до нас долетел звук разрыва.",AABB,iambos
"Он с аффектацией почтительности, которая, очевидно, неприятно поразила императора Александра, подъехал и салютовал ему.",ABAB,choreios
"Она поджала губы и, помолчав, с холодной вежливостью осведомилась: — А вам какое дело до этого, батюшка мой?",ABBA,iambos
"Иногда дед мечтал: — Помог бы господь продать домишко этот, хоть с пятьюстами пользы отслужил бы я молебен Николе Угоднику!",AABB,choreios
"Приезжает в столицу иностранец-собственник и привозит с собой крокодила, которого и начинает показывать в Пассаже публике.",ABAB,iambos
"Я  после узнал, что правительство  им  платит  и  кормит  их  с  условием,  чтоб  они принимали путешественников, застигнутых бурею.",ABBA,choreios
"Веселый, энергический, с сизым подбородком офицер-адъютант, предлагавший во всем свои услуги, был приятен своим добродушием.",AABB,iambos
"Сперва они зашли в уезд к старику, где он сидел в остроге, снесли ему рубахи, и оттуда через губернский город они пошли к Москве.",ABAB,choreios
"А однажды, глядя на всех из угла темным взглядом, он угрюмо сказал: — Надо говорить о том, что есть, а что будет — нам неизвестно, — вот!",ABBA,iambos
"Неловко мне как-то, и точно по двум дорогам сразу я иду: то мне кажется, что всё понимаю, а вдруг как в туман попала.",AABB,choreios
"-- Вы, доктор, преопасный софист, и если б я не коротко вас знала, я считала бы вас пребезнравственным человеком.",ABAB,iambos
"На последней ступени он зацепился, но, чуть дотронувшись до льда рукой, сделал сильное движение, справился и, смеясь, покатился дальше.",ABBA,choreios
"Я человек посторонний, не причастный делам земли... живу из любопытства и нахожу, что здесь - довольно интересно.",AABB,iambos
"Узнал я, что не только жить подлецом невозможно, но и умирать подлецом невозможно… Нет, господа, умирать надо честно!..",ABAB,choreios
"Одним словом, жизни вы не видели, не знаете ее совершенно, а с действительностью знакомы только теоретически.",ABBA,iambos
"Опять хожу, курю, выпиваю за завтраком водки и вина и достигаю того, чего бессознательно желаю: не вижу глупости, подлости своего положения.",AABB,choreios
"Солнце разгоралось на небе, как бы свирепея; парило и пекло неотступно; воздух был весь пропитан душной пылью.",ABAB,iambos
"Вся ее болезненная фигурка как будто говорила: «Не трогайте меня, пожалуйста!» Как могли товарищи влюбиться в нее?",ABBA,choreios
"Ей казалось, что дело было только в личной борьбе между «дедушкой» и «длиннополым», как она называла Бенигсена.",AABB,iambos
"Толстый человек с большим животом, стукая в палубу пристани палкой, смотрел на крючников маленькими глазками.",ABAB,choreios
"Я искала глазами отца: ""Он должен быть здесь, он здесь"", -- думала я, и сердце мое билось от ожидания... дух во мне занимался.",ABBA,iambos
"И между теми-то казаками, между теми восьмью полками отборнее всех был один полк; и полком тем предводил Тарас Бульба.",AABB,choreios
"Я сам думал так же, когда мне было двадцать лет, и  так  же презирал брюзжанье стариков, так как уверен был, что знаю все  лучше  их!",ABAB,iambos
"Но я чувствую, что мне еще долго надо будет ждать, чтоб убедить вас вполне в моей искренности... Но к делу!",ABBA,choreios
"– тотчас же согласился Красоткин и, взяв пушечку из рук Илюши, сам и передал ее с самым вежливым поклоном маменьке.",AABB,iambos
"- У тебя хорошее имя, - сказал тогда император скрипучим голосом, - и за тебя ручались хорошие люди.",ABAB,choreios
"95  но видишь ли… госпожа генеральша эти дьявольские русские имена, словом, госпожа генеральша Заго-Заго и еще четырнадцать согласных!",ABBA,iambos
"или, может быть, хотите воротиться домой, да оборотиться в недоверков, да возить на своих спинах польских ксендзов?",AABB,choreios
"Иван Андреевич не устоял, отворил дверь и очутился в квартире со всею торжественностью оскорбленного мужа.",ABAB,iambos
"Тогда он еще был простой сосунок, с глянцевитой нежной шерстью, лебединой шейкой и, как струнки, ровными и тонкими ногами.",ABBA,choreios
"Сидела бы я в маленькой комнатке нашей, у самовара, вместе с нашими; было бы так тепло, хорошо, знакомо.",AABB,iambos
"Кавалеры стали шаркать и кланяться, а дамы приседать и постукивать каблучками с большим усердием и уж вовсе не наблюдая каданса.",ABAB,choreios
"– сказал Иван Дмитрич, приподнимаясь и глядя на доктора насмешливо и с тревогой; глаза у него были красны.",ABBA,iambos
"В сюртуке и брюках навыпуск он казался мне важным, солидным, но было в нем что-то неприятное, смешное.",AABB,choreios
"По крайней мере на глазах будет, -- сказала она и, взглянув на Хаджи-Мурата и встретившись с ним глазами, поспешно отвернулась.",ABAB,iambos
"Пройдя молча несколько шагов, казаки свернули с канавы и по чуть заметной тропинке в камышах подошли к Тереку.",ABBA,choreios
Вот… будет она мне сниться теперь… мне всегда покойники снятся… Боюсь идти одна… в сенях — темно… Лука(следуя за ней).,AABB,iambos
"Несмотря на возраст, Гоголев был все-таки так силен, что часто избивал нас, нападая врасплох; изобьет, а потом пожалуется хозяйке.",ABAB,choreios
"Он занял место прежнего сражения близ Царицына и разделил войско свое на три отряда, в близком расстоянии один от другого.",ABBA,iambos
